kode_satker,nama_kementerian,provinsi,tipe_satker,jenis_belanja_utama,pagu_miliar,jumlah_pegawai,jumlah_spm,revisi_dipa,realisasi_tw1_persen,realisasi_tw2_persen,realisasi_tw3_persen,deviasi_rpd_persen,skor_ikpa,realisasi_tercapai_95persen
SAT0001,Kementan,Jawa Tengah,Kantor Pusat,Belanja Modal,6.34,328,39,1,23.17,33.2,47.79,29.7,89.13,Tidak
SAT0002,Kementan,Aceh,Kantor Pusat,Bantuan Sosial,17.53,125,102,5,12.62,28.62,40.97,9.36,94.6,Ya
SAT0003,Kemenhan,Lampung,Kantor Pusat,Belanja Barang,7.7,122,34,1,25.73,48.66,61.97,10.2,71.25,Ya
SAT0004,Kemensos,Sumatera Utara,Tugas Pembantuan,Belanja Barang,4.19,260,120,1,12.04,41.52,51.56,2.37,84.94,Ya
SAT0005,Kemenag,Sumatera Barat,Tugas Pembantuan,Belanja Pegawai,66.93,485,12,1,26.82,53.76,78.13,13.28,90.68,Ya
SAT0006,Kemenhan,Aceh,Dekonsentrasi,Belanja Pegawai,217.79,260,154,1,7.81,18.28,42.93,7.83,77.57,Tidak
SAT0007,Kemenag,NTB,Dekonsentrasi,Belanja Modal,4.11,312,48,3,22.59,50.56,70.86,10.3,79.23,Tidak
SAT0008,Kemenag,DKI Jakarta,Kantor Daerah,Belanja Barang,43.29,468,190,0,18.52,44.18,57.41,25.04,88.41,Tidak
SAT0009,Kemenkeu,NTT,Tugas Pembantuan,Belanja Barang,10.09,322,40,2,7.41,33.02,44.69,28.06,96.94,Tidak
SAT0010,Kemenhan,Jawa Tengah,Kantor Pusat,Belanja Barang,12.28,127,81,4,11.05,30.21,40.59,5.57,94.3,Ya
SAT0011,Kemenag,NTB,Kantor Pusat,Belanja Modal,10.82,310,35,2,5.31,23.27,36.58,11.18,87.49,Tidak
SAT0012,Kemenhub,Sulawesi Selatan,Kantor Daerah,Belanja Barang,7.81,170,51,2,16.72,32.78,60.6,27.86,91.91,Ya
SAT0013,Kemenkeu,Jawa Tengah,Kantor Pusat,Belanja Pegawai,23.35,410,59,5,12.53,23.84,38.67,1.85,80.94,Ya
SAT0014,Kementan,Sumatera Utara,Kantor Daerah,Belanja Modal,8.13,207,110,0,19.96,34.52,51.61,2.77,89.23,Ya
SAT0015,Kemenkeu,Papua,Dekonsentrasi,Belanja Pegawai,30.47,269,194,5,12.43,27.36,39.47,4.88,83.99,Tidak
SAT0016,Kemendikbud,Jawa Barat,Tugas Pembantuan,Belanja Pegawai,20.74,157,162,0,12.5,32.18,46.63,17.86,75.7,Ya
SAT0017,Kemendikbud,Sumatera Barat,Kantor Daerah,Belanja Modal,16.54,249,125,0,23.58,48.53,68.91,4.51,91.05,Ya
SAT0018,Kemenag,Jawa Barat,Kantor Pusat,Bantuan Sosial,7.41,56,59,1,6.2,25.68,47.84,29.04,86.69,Tidak
SAT0019,Kemenhan,Lampung,Kantor Daerah,Bantuan Sosial,11.02,484,148,3,27.57,38.73,53.64,13.4,80.76,Tidak
SAT0020,Kementan,Sulawesi Selatan,Dekonsentrasi,Belanja Pegawai,54.53,408,16,1,26.31,55.47,66.62,15.05,97.34,Tidak
SAT0021,Kemenkeu,Sulawesi Selatan,Kantor Pusat,Bantuan Sosial,40.18,207,149,3,21.7,50.55,68.37,7.4,70.63,Ya
SAT0022,Kemenhan,Sumatera Barat,Dekonsentrasi,Belanja Barang,6.82,56,148,5,19.83,45.53,60.21,14.13,79.47,Tidak
SAT0023,Kemenkeu,Sumatera Barat,Dekonsentrasi,Belanja Modal,24.81,87,144,3,27.31,57.14,71.53,19.86,71.71,Ya
SAT0024,Kemenkeu,Bali,Kantor Daerah,Belanja Pegawai,54.27,133,140,5,9.63,30.52,59.72,22.54,93.0,Tidak
SAT0025,Kemenhub,Lampung,Dekonsentrasi,Belanja Barang,2.97,84,7,2,6.97,36.23,58.56,22.62,91.06,Tidak
SAT0026,Kemendikbud,Riau,Kantor Pusat,Bantuan Sosial,42.28,368,148,2,10.99,22.5,43.64,17.34,79.94,Tidak
SAT0027,Kemenkeu,Sumatera Barat,Dekonsentrasi,Belanja Barang,9.95,146,34,3,24.86,42.17,60.49,27.13,90.27,Tidak
SAT0028,Kemenhub,NTB,Dekonsentrasi,Bantuan Sosial,43.68,99,27,3,5.87,20.38,38.96,24.52,81.88,Tidak
SAT0029,Kemendikbud,Jawa Barat,Kantor Daerah,Belanja Pegawai,8.81,409,96,5,19.57,33.49,54.31,22.71,92.69,Ya
SAT0030,Kemenhub,Papua,Dekonsentrasi,Belanja Barang,2.53,334,119,1,29.89,42.71,66.64,1.67,83.63,Ya
SAT0031,Kemenhan,Aceh,Tugas Pembantuan,Belanja Modal,3.12,70,108,5,26.39,48.84,72.88,0.21,82.37,Ya
SAT0032,Kemensos,Jawa Barat,Kantor Daerah,Belanja Pegawai,23.33,147,122,1,18.04,43.67,57.1,6.37,98.04,Tidak
SAT0033,Kemendikbud,Riau,Kantor Daerah,Belanja Barang,30.08,59,9,2,6.59,28.16,48.16,19.91,77.53,Ya
SAT0034,Kemendagri,DKI Jakarta,Kantor Pusat,Belanja Barang,7.44,268,108,0,25.78,38.72,56.96,12.34,73.61,Tidak
SAT0035,Kemensos,NTT,Kantor Pusat,Bantuan Sosial,47.4,470,112,3,19.97,46.19,73.6,12.07,87.54,Tidak
SAT0036,Kemenhan,Jawa Barat,Kantor Pusat,Belanja Pegawai,3.0,116,69,1,7.87,30.59,53.22,26.54,99.08,Ya
SAT0037,Kemenkeu,Lampung,Kantor Pusat,Belanja Pegawai,20.35,122,125,5,7.35,25.11,45.76,26.87,81.34,Tidak
SAT0038,Kementan,Kalimantan Timur,Tugas Pembantuan,Belanja Pegawai,5.15,359,34,2,27.74,51.22,63.53,27.28,71.86,Tidak
SAT0039,Kemenhan,Bali,Kantor Daerah,Belanja Pegawai,10.07,263,153,1,21.73,36.93,59.04,9.42,80.18,Tidak
SAT0040,Kemenhub,Sumatera Utara,Dekonsentrasi,Bantuan Sosial,23.32,127,88,5,25.73,42.63,54.97,20.73,85.18,Tidak
SAT0041,Kemenhub,Sulawesi Selatan,Kantor Pusat,Belanja Modal,7.84,207,154,3,26.97,55.32,72.06,8.15,74.86,Ya
SAT0042,Kemenhub,Lampung,Kantor Pusat,Belanja Pegawai,13.88,346,36,3,19.29,35.1,47.96,5.72,89.74,Tidak
SAT0043,Kemenhub,DKI Jakarta,Kantor Pusat,Bantuan Sosial,73.68,374,165,4,17.94,37.34,61.18,5.54,99.93,Tidak
SAT0044,Kemenhan,Aceh,Dekonsentrasi,Belanja Modal,11.02,60,20,0,15.76,43.56,57.69,10.26,83.55,Ya
SAT0045,Kementan,Sulawesi Selatan,Kantor Pusat,Belanja Modal,60.04,254,42,4,12.92,37.07,54.91,12.9,80.64,Tidak
SAT0046,Kemenkes,Lampung,Dekonsentrasi,Bantuan Sosial,5.68,412,146,2,15.86,27.1,55.01,24.93,82.02,Ya
SAT0047,Kemenhub,Aceh,Kantor Daerah,Belanja Pegawai,41.6,435,40,1,24.35,37.3,51.39,3.6,73.45,Ya
SAT0048,Kemenkes,Bali,Kantor Daerah,Belanja Modal,124.23,44,155,2,20.05,30.21,50.37,22.05,96.5,Tidak
SAT0049,Kementan,Riau,Kantor Daerah,Belanja Pegawai,1.13,311,118,5,27.31,49.93,68.32,15.94,82.44,Tidak
SAT0050,Kementan,Jawa Tengah,Tugas Pembantuan,Belanja Pegawai,8.47,419,70,3,16.08,35.03,45.39,8.64,81.62,Ya
SAT0051,Kemensos,Sumatera Barat,Dekonsentrasi,Belanja Barang,44.02,78,109,4,20.18,32.87,58.73,14.78,89.79,Tidak
SAT0052,Kemendikbud,DKI Jakarta,Kantor Pusat,Belanja Pegawai,17.26,358,89,4,20.78,49.94,61.32,9.0,83.26,Ya
SAT0053,Kemendagri,Sumatera Barat,Kantor Pusat,Belanja Barang,34.38,329,6,4,19.79,40.38,59.87,17.88,89.45,Ya
SAT0054,Kemenag,Jawa Timur,Kantor Pusat,Belanja Modal,10.67,430,197,2,22.57,37.41,58.62,13.02,71.84,Ya
SAT0055,Kemendagri,DKI Jakarta,Kantor Pusat,Bantuan Sosial,24.44,477,79,3,10.94,30.95,53.52,4.93,94.41,Tidak
SAT0056,Kemenhan,NTB,Tugas Pembantuan,Belanja Barang,18.27,58,71,1,17.81,41.4,65.17,3.5,98.22,Ya
SAT0057,Kemenag,Bali,Kantor Pusat,Bantuan Sosial,89.44,414,184,5,7.61,19.13,34.2,16.4,89.46,Tidak
SAT0058,Kementan,Sumatera Utara,Tugas Pembantuan,Belanja Modal,29.89,83,194,1,14.61,30.1,40.3,27.07,98.64,Tidak
SAT0059,Kemendagri,DKI Jakarta,Dekonsentrasi,Belanja Pegawai,33.03,201,155,2,17.19,43.33,67.8,10.32,74.54,Tidak
SAT0060,Kemen PUPR,NTB,Kantor Daerah,Belanja Modal,13.44,270,158,5,21.31,40.5,61.21,21.99,84.32,Tidak
SAT0061,Kemendikbud,Bali,Kantor Pusat,Bantuan Sosial,12.27,365,59,4,28.76,49.69,76.41,19.76,88.05,Tidak
SAT0062,Kemendagri,Papua,Kantor Daerah,Belanja Modal,13.11,79,10,0,20.02,38.68,65.11,27.95,87.45,Tidak
SAT0063,Kemendikbud,NTT,Dekonsentrasi,Belanja Pegawai,35.36,99,167,2,23.59,34.47,61.34,24.63,82.04,Tidak
SAT0064,Kemenkes,Jawa Barat,Dekonsentrasi,Belanja Modal,13.29,269,154,2,17.66,30.97,50.67,17.0,80.14,Ya
SAT0065,Kemenhan,Papua,Kantor Pusat,Belanja Pegawai,31.19,135,175,3,20.85,39.76,56.43,19.71,73.8,Tidak
SAT0066,Kemendikbud,Bali,Dekonsentrasi,Belanja Barang,265.8,240,147,1,6.77,20.95,46.78,26.95,81.75,Ya
SAT0067,Kemenkes,Kalimantan Timur,Kantor Daerah,Bantuan Sosial,62.65,304,90,2,11.36,22.36,41.39,11.99,74.88,Tidak
SAT0068,Kemenhub,Jawa Tengah,Kantor Pusat,Belanja Pegawai,14.89,428,64,2,14.05,40.92,54.59,9.8,92.03,Tidak
SAT0069,Kemenkes,Jawa Barat,Tugas Pembantuan,Belanja Pegawai,93.1,138,105,4,16.81,46.43,73.53,0.32,76.26,Ya
SAT0070,Kemenhan,Kalimantan Timur,Kantor Pusat,Belanja Modal,13.5,289,16,4,6.14,32.0,59.65,24.8,71.76,Tidak
SAT0071,Kemensos,Aceh,Kantor Daerah,Belanja Barang,1.91,322,53,5,8.5,35.58,54.91,24.03,86.57,Ya
SAT0072,Kemenhub,Sumatera Utara,Kantor Pusat,Belanja Pegawai,6.57,109,46,0,11.92,26.76,38.27,3.13,87.86,Tidak
SAT0073,Kementan,Sulawesi Selatan,Kantor Pusat,Belanja Barang,2.33,335,170,3,29.29,58.5,76.26,17.31,96.16,Tidak
SAT0074,Kemenkeu,Jawa Timur,Kantor Daerah,Belanja Barang,14.45,306,86,0,13.28,27.22,53.29,13.92,87.31,Ya
SAT0075,Kemenkes,Jawa Barat,Kantor Pusat,Belanja Modal,22.52,191,177,5,17.05,46.08,74.12,3.56,80.36,Ya
SAT0076,Kemenkes,Papua,Kantor Pusat,Belanja Pegawai,164.67,183,39,4,9.9,39.8,53.87,29.42,94.09,Tidak
SAT0077,Kemendikbud,Jawa Tengah,Kantor Daerah,Belanja Modal,32.61,325,162,1,20.27,44.5,55.84,6.44,86.21,Ya
SAT0078,Kementan,Lampung,Dekonsentrasi,Bantuan Sosial,16.93,373,162,4,12.02,41.64,69.19,2.02,72.38,Ya
SAT0079,Kemendagri,NTB,Kantor Daerah,Bantuan Sosial,59.59,197,138,3,10.17,31.56,49.35,17.85,86.98,Tidak
SAT0080,Kemen PUPR,Kalimantan Timur,Kantor Pusat,Belanja Pegawai,1.55,66,71,4,17.91,33.1,53.94,22.17,97.24,Tidak
SAT0081,Kemenag,NTB,Tugas Pembantuan,Belanja Barang,29.22,40,84,3,5.14,23.88,53.24,0.97,81.89,Tidak
SAT0082,Kemenkes,Bali,Tugas Pembantuan,Belanja Pegawai,55.55,93,11,3,5.19,27.06,38.39,19.76,78.89,Ya
SAT0083,Kemendagri,Jawa Barat,Kantor Daerah,Belanja Pegawai,3.74,161,184,3,10.48,21.94,44.91,15.97,74.3,Tidak
SAT0084,Kemen PUPR,NTB,Tugas Pembantuan,Bantuan Sosial,86.9,482,18,5,5.92,28.37,39.85,3.1,74.54,Tidak
SAT0085,Kemenag,Sulawesi Selatan,Kantor Pusat,Bantuan Sosial,33.06,45,77,3,7.7,37.32,54.83,5.18,82.98,Ya
SAT0086,Kemenkeu,Sumatera Barat,Kantor Pusat,Belanja Barang,13.38,222,147,3,13.47,27.27,53.35,17.04,87.87,Tidak
SAT0087,Kemendikbud,Bali,Kantor Daerah,Belanja Barang,47.07,423,153,1,25.06,50.91,69.58,8.89,72.42,Tidak
SAT0088,Kemendagri,Kalimantan Timur,Kantor Pusat,Belanja Pegawai,335.99,417,167,0,19.3,47.46,77.4,28.15,98.19,Ya
SAT0089,Kemendikbud,Sumatera Barat,Dekonsentrasi,Belanja Modal,27.4,373,70,2,17.82,46.69,67.87,24.56,92.65,Tidak
SAT0090,Kemenag,Jawa Tengah,Kantor Pusat,Belanja Pegawai,29.67,115,95,0,12.34,41.54,57.96,29.51,87.6,Tidak
SAT0091,Kemensos,DKI Jakarta,Kantor Daerah,Belanja Barang,12.69,423,134,3,28.29,48.72,63.12,7.79,94.85,Tidak
SAT0092,Kemenkes,NTB,Dekonsentrasi,Belanja Modal,7.94,351,167,1,14.93,44.48,61.49,29.09,72.41,Tidak
SAT0093,Kemenhub,Sulawesi Selatan,Dekonsentrasi,Bantuan Sosial,59.66,229,24,4,7.18,32.33,49.78,12.94,84.31,Tidak
SAT0094,Kemen PUPR,Bali,Tugas Pembantuan,Belanja Barang,7.88,400,14,1,20.43,33.66,45.03,10.43,88.9,Ya
SAT0095,Kementan,Sulawesi Selatan,Kantor Pusat,Belanja Barang,24.0,172,29,3,7.85,27.39,44.78,1.51,94.86,Ya
SAT0096,Kemenhan,Sumatera Utara,Kantor Daerah,Belanja Modal,12.42,448,198,1,13.63,38.0,57.28,1.58,93.5,Ya
SAT0097,Kemenkes,Sumatera Barat,Tugas Pembantuan,Belanja Barang,39.14,229,29,1,17.69,32.64,57.09,20.76,78.31,Ya
SAT0098,Kemenhub,Lampung,Tugas Pembantuan,Belanja Barang,32.87,279,58,3,26.86,49.67,72.8,13.74,98.23,Ya
SAT0099,Kemenhan,Bali,Kantor Pusat,Belanja Barang,76.5,129,37,5,17.34,40.67,64.85,6.8,73.73,Tidak
SAT0100,Kemendagri,Jawa Barat,Kantor Pusat,Belanja Barang,11.94,403,168,1,22.56,35.81,45.98,18.42,96.25,Tidak
SAT0101,Kemenhan,Aceh,Kantor Daerah,Belanja Barang,15.93,345,99,2,29.82,51.12,65.47,7.59,99.13,Tidak
SAT0102,Kemenkeu,Lampung,Tugas Pembantuan,Belanja Barang,6.81,409,18,2,8.29,33.72,56.95,17.33,75.31,Tidak
SAT0103,Kemenkes,Aceh,Kantor Daerah,Belanja Barang,12.92,191,69,1,11.87,31.85,51.53,10.78,91.66,Tidak
SAT0104,Kemendikbud,DKI Jakarta,Tugas Pembantuan,Belanja Barang,34.64,488,114,5,14.86,25.1,35.21,24.71,71.21,Tidak
SAT0105,Kemensos,DKI Jakarta,Tugas Pembantuan,Bantuan Sosial,54.63,115,84,4,15.55,25.73,51.82,24.62,82.16,Ya
SAT0106,Kementan,Aceh,Tugas Pembantuan,Belanja Barang,7.28,226,58,3,15.28,32.42,57.88,14.32,85.49,Tidak
SAT0107,Kemendikbud,NTB,Kantor Pusat,Bantuan Sosial,62.54,214,129,2,27.69,56.21,77.18,10.52,87.42,Ya
SAT0108,Kemenhub,Jawa Timur,Tugas Pembantuan,Bantuan Sosial,112.06,79,184,4,22.85,37.42,48.75,10.88,98.08,Tidak
SAT0109,Kemenkes,Sulawesi Selatan,Tugas Pembantuan,Belanja Pegawai,36.17,53,135,1,20.2,42.89,68.22,24.17,90.17,Ya
SAT0110,Kemensos,Riau,Tugas Pembantuan,Belanja Pegawai,209.43,338,173,4,12.73,27.17,48.84,9.85,84.44,Tidak
SAT0111,Kemenhan,Papua,Dekonsentrasi,Bantuan Sosial,8.7,310,138,0,25.59,42.02,67.66,6.27,94.29,Tidak
SAT0112,Kemenkes,DKI Jakarta,Kantor Pusat,Bantuan Sosial,4.95,237,29,2,28.88,55.84,80.87,2.54,98.52,Ya
SAT0113,Kemenhan,Lampung,Dekonsentrasi,Belanja Barang,2.61,193,145,1,25.53,50.11,76.17,14.0,70.66,Tidak
SAT0114,Kemendagri,DKI Jakarta,Kantor Pusat,Belanja Pegawai,132.62,116,121,3,5.04,16.95,37.31,14.46,99.48,Ya
SAT0115,Kemenkeu,Riau,Kantor Daerah,Belanja Modal,48.3,93,140,5,20.91,39.48,52.29,25.23,72.58,Tidak
SAT0116,Kemenag,Riau,Dekonsentrasi,Belanja Pegawai,20.61,347,153,1,6.28,16.86,40.28,6.64,94.43,Tidak
SAT0117,Kemenkes,Sumatera Utara,Kantor Daerah,Bantuan Sosial,30.82,259,29,3,11.44,31.06,53.47,11.43,78.41,Tidak
SAT0118,Kemenhub,NTT,Tugas Pembantuan,Bantuan Sosial,5.71,372,83,5,6.49,29.74,54.59,24.25,73.97,Tidak
SAT0119,Kemenhan,Sumatera Utara,Kantor Daerah,Belanja Barang,414.53,450,72,5,20.09,32.46,45.86,24.71,83.2,Tidak
SAT0120,Kemendikbud,Sumatera Utara,Kantor Daerah,Belanja Barang,25.72,30,177,1,22.16,37.94,51.84,11.54,89.32,Tidak
SAT0121,Kemendagri,NTT,Kantor Daerah,Belanja Pegawai,25.12,205,192,4,7.86,25.82,53.63,13.77,81.43,Tidak
SAT0122,Kemenhub,Sulawesi Selatan,Kantor Daerah,Belanja Barang,52.62,187,16,4,14.6,42.99,67.99,9.1,71.64,Tidak
SAT0123,Kementan,Bali,Kantor Pusat,Belanja Modal,39.23,426,36,5,16.41,46.28,74.44,27.98,87.98,Ya
SAT0124,Kemenag,Jawa Tengah,Dekonsentrasi,Belanja Modal,28.82,484,132,4,14.23,25.13,50.3,3.56,97.07,Tidak
SAT0125,Kemendagri,Papua,Kantor Pusat,Belanja Barang,8.53,16,100,0,8.03,33.25,55.19,28.01,81.5,Tidak
SAT0126,Kemenkeu,Riau,Kantor Pusat,Belanja Modal,38.78,79,96,5,15.47,32.9,55.98,20.52,76.49,Ya
SAT0127,Kemenag,DKI Jakarta,Kantor Pusat,Belanja Modal,210.75,136,145,5,23.78,41.63,69.41,15.95,83.28,Tidak
SAT0128,Kemenhan,Jawa Timur,Kantor Daerah,Belanja Pegawai,110.69,408,35,3,6.78,31.87,53.45,0.98,71.45,Ya
SAT0129,Kemenhub,Papua,Kantor Pusat,Belanja Modal,149.02,475,82,4,7.0,35.37,58.02,14.27,94.61,Tidak
SAT0130,Kementan,Aceh,Dekonsentrasi,Bantuan Sosial,11.93,169,24,5,13.87,42.89,56.02,12.23,94.79,Tidak
SAT0131,Kemen PUPR,NTB,Kantor Pusat,Bantuan Sosial,6.72,257,150,0,28.54,50.08,69.56,4.84,87.64,Ya
SAT0132,Kemenkeu,Bali,Tugas Pembantuan,Belanja Pegawai,18.94,212,64,3,21.71,38.85,63.18,19.69,80.59,Tidak
SAT0133,Kemensos,NTT,Kantor Daerah,Belanja Barang,23.55,157,195,1,21.97,47.72,63.14,29.13,93.99,Tidak
SAT0134,Kemenhan,Papua,Tugas Pembantuan,Belanja Pegawai,81.88,481,138,5,14.05,29.07,43.12,16.87,86.64,Ya
SAT0135,Kemen PUPR,DKI Jakarta,Dekonsentrasi,Belanja Barang,2.89,152,164,0,19.84,41.12,57.4,21.44,94.78,Ya
SAT0136,Kemenkes,Papua,Dekonsentrasi,Belanja Barang,138.06,441,97,2,5.25,22.42,37.25,2.05,88.94,Ya
SAT0137,Kementan,Jawa Tengah,Dekonsentrasi,Belanja Barang,18.22,208,47,0,20.9,44.03,58.33,12.53,93.53,Ya
SAT0138,Kemendikbud,Sumatera Barat,Dekonsentrasi,Belanja Barang,13.2,414,134,0,27.83,42.64,61.14,3.49,87.96,Ya
SAT0139,Kemensos,Lampung,Kantor Pusat,Belanja Barang,6.54,435,64,3,20.31,34.14,62.3,18.38,82.42,Tidak
SAT0140,Kemenhub,NTT,Kantor Daerah,Belanja Pegawai,3.02,163,155,1,26.84,55.2,75.34,28.15,98.74,Ya
SAT0141,Kementan,Papua,Dekonsentrasi,Belanja Barang,59.15,385,35,2,23.1,35.14,48.9,19.85,86.23,Tidak
SAT0142,Kemenag,DKI Jakarta,Tugas Pembantuan,Belanja Modal,24.05,393,9,4,8.01,28.13,39.67,2.3,88.15,Tidak
SAT0143,Kemendagri,DKI Jakarta,Dekonsentrasi,Belanja Modal,4.68,151,166,4,27.56,41.98,65.9,10.64,76.61,Ya
SAT0144,Kemenag,Papua,Kantor Daerah,Belanja Barang,4.66,322,14,0,6.66,17.44,35.1,16.52,88.77,Tidak
SAT0145,Kemenag,Sumatera Barat,Tugas Pembantuan,Belanja Modal,14.72,174,93,3,18.35,29.07,55.51,12.1,87.15,Tidak
SAT0146,Kemenkes,NTB,Tugas Pembantuan,Bantuan Sosial,163.22,323,134,3,8.55,22.05,45.24,25.01,75.55,Tidak
SAT0147,Kemenkeu,Sulawesi Selatan,Tugas Pembantuan,Belanja Pegawai,16.13,30,130,4,5.29,32.63,58.55,24.44,71.79,Tidak
SAT0148,Kemendikbud,Jawa Timur,Kantor Pusat,Belanja Pegawai,3.63,91,15,2,15.55,31.2,46.64,18.35,88.13,Tidak
SAT0149,Kemensos,Kalimantan Timur,Dekonsentrasi,Belanja Barang,16.4,78,182,1,12.38,41.39,65.24,11.2,92.91,Tidak
SAT0150,Kemenkeu,Sumatera Utara,Kantor Pusat,Belanja Barang,15.88,140,163,2,17.15,38.78,54.06,7.66,85.7,Tidak
SAT0151,Kementan,NTT,Tugas Pembantuan,Bantuan Sosial,1.0,96,60,5,19.43,38.16,66.94,3.18,76.8,Ya
SAT0152,Kemenag,NTB,Kantor Pusat,Belanja Barang,20.64,227,87,5,6.09,27.69,50.42,10.65,90.0,Tidak
SAT0153,Kemenkes,Kalimantan Timur,Kantor Pusat,Belanja Modal,16.7,430,141,1,8.08,28.41,44.9,12.4,72.4,Tidak
SAT0154,Kementan,Bali,Kantor Pusat,Bantuan Sosial,50.79,481,103,4,18.97,44.15,59.54,20.27,83.26,Tidak
SAT0155,Kemendagri,Bali,Dekonsentrasi,Belanja Modal,202.55,314,153,1,13.58,29.23,43.05,19.74,74.9,Tidak
SAT0156,Kemendikbud,DKI Jakarta,Tugas Pembantuan,Belanja Pegawai,85.13,412,77,3,23.23,40.29,64.18,2.1,75.53,Ya
SAT0157,Kemensos,Bali,Tugas Pembantuan,Belanja Modal,15.95,380,160,5,21.31,49.19,63.56,11.86,76.07,Tidak
SAT0158,Kemendagri,Sulawesi Selatan,Dekonsentrasi,Belanja Pegawai,5.84,354,194,0,26.14,55.07,76.98,5.45,81.6,Ya
SAT0159,Kemenkes,Jawa Timur,Kantor Pusat,Belanja Modal,483.13,350,119,0,22.31,50.16,65.45,4.7,71.53,Ya
SAT0160,Kemendikbud,Riau,Kantor Pusat,Belanja Pegawai,23.65,393,11,4,15.75,34.14,57.38,24.82,81.93,Ya
SAT0161,Kementan,NTB,Kantor Daerah,Belanja Barang,22.4,405,84,3,21.82,47.43,73.73,1.26,85.35,Ya
SAT0162,Kemenag,Lampung,Kantor Daerah,Belanja Modal,21.4,454,148,2,11.88,31.41,56.97,12.58,84.5,Tidak
SAT0163,Kemenag,Bali,Kantor Daerah,Belanja Pegawai,27.94,434,101,3,12.66,32.61,57.83,5.05,81.48,Tidak
SAT0164,Kemenhan,Jawa Tengah,Dekonsentrasi,Belanja Modal,18.52,170,8,0,24.72,38.81,52.56,26.38,95.17,Ya
SAT0165,Kemenag,Riau,Tugas Pembantuan,Bantuan Sosial,11.07,187,8,0,16.16,37.98,49.75,16.71,74.36,Tidak
SAT0166,Kemen PUPR,Jawa Timur,Kantor Daerah,Belanja Barang,11.43,126,107,5,24.96,38.68,62.66,6.94,85.17,Tidak
